nino12,nino3,nino34,nino4
23.22,24.23,25.58,27.78
25.36,25.15,25.57,26.93
26.08,26.35,26.43,27.28
25.34,26.7,26.96,27.5
23.82,25.92,26.59,27.73
22.03,25.46,26.61,27.71
20.86,24.57,26.19,27.79
19.9,24.11,25.99,27.82
19.52,24.09,26.22,28.25
19.54,23.68,25.82,28.17
20.47,23.94,25.86,28
21.77,24.19,25.79,27.78
23.98,25.33,26.33,27.72
25.76,25.83,26.18,27.69
25.95,26.65,26.83,27.84
25.07,26.91,27.27,28.1
23.7,26.22,27.16,28.11
22.74,25.93,27.16,28.11
21.51,25.07,26.62,27.91
20.61,24.66,26.54,28.12
20.2,24.59,26.51,28.23
20.92,24.55,26.4,28.25
21.51,24.66,26.35,28.1
21.98,24.52,26.01,27.73
23.54,24.82,25.86,27.5
25.07,25.61,26.14,27.59
25.71,26.46,26.76,27.9
24.96,26.62,27,27.82
23.71,26.27,27.25,28.2
22.38,25.84,27.16,28.03
21.14,25.19,26.91,28.03
20.09,24.17,26.02,27.55
19.88,23.97,25.73,27.54
20.2,23.81,25.79,27.77
21.26,24.01,25.86,27.88
22.18,24.14,25.71,27.62
23.84,24.63,25.79,27.5
25.02,25.17,25.75,27.23
24.9,25.6,25.95,27.2
24.65,26.62,27.1,27.78
23.34,26.25,27.33,28.27
22.65,26.06,27.21,28.06
21.56,25.12,26.65,28.06
20.63,24.65,26.48,28.06
19.86,24.43,26.41,28.07
20.09,23.97,25.96,27.89
20.95,23.94,25.88,27.92
22.11,24.05,25.89,27.98
23.62,24.25,25.64,27.66
24.86,24.94,25.7,27.42
25.56,25.63,25.85,27.31
24.72,26.41,26.83,27.86
24.53,26.23,27,28.2
22.46,25.67,26.96,28.15
21.07,24.48,26.22,27.94
19.9,23.76,25.82,27.8
19.81,23.76,25.62,27.48
20.29,23.7,25.49,27.4
21.29,23.74,25.33,27.4
22.22,24.03,25.45,27.49
24.06,24.81,25.87,27.62
25.75,25.85,26.39,27.68
25.92,26.45,26.66,27.61
25.12,26.68,26.9,27.51
23.27,26.02,26.77,27.7
22.27,25.8,26.92,27.77
20.59,24.73,26.37,27.59
19.86,24.24,26.06,27.54
19.44,24.08,25.84,27.5
19.78,24.01,25.9,27.75
20.33,24.06,26.01,27.96
21.49,24.13,25.83,27.61
23.01,24.33,25.63,27.26
24.52,24.89,25.56,27.14
25.21,25.7,26.13,27.53
24.27,25.99,26.59,27.63
23.49,25.62,26.78,28.1
22.3,25.81,27.25,28.23
21.46,25.16,26.88,28.11
20.75,24.77,26.71,28.2
20.95,24.88,26.73,28.3
21.84,25.16,26.85,28.41
22.71,25.22,26.8,28.4
23.4,25.44,26.81,28.34
24.66,25.8,26.93,28.16
26.41,26.57,27.22,28.57
26.91,27.32,27.78,28.53
25.69,27.61,28.27,28.64
24.36,27.43,28.62,29.03
22.66,26.96,28.67,29.29
22.61,26.96,28.64,29.31
22.06,26.58,28.42,29.23
22.47,26.97,28.5,29.28
23.16,27.07,28.68,29.48
23.93,27.27,28.74,29.53
25.27,27.71,29.07,29.6
26.95,28.15,28.99,29.32
28.55,28.84,29.19,29.28
27.73,28.28,28.57,29
26.23,28.32,28.69,29.01
24.62,27.72,28.69,29.18
